Año,1.ª,2.ª,3.ª,4.ª,5.ª,6.ª,7.ª,8.ª,9.ª,10.ª 
1996,Slackware,Debian,Red Hat,Mandrake,SuSE,Gentoo,Slackware,LFS,FreeBSD,NetBSD
1997,Slackware,Debian,Red Hat,Mandrake,SuSE,Gentoo,Slackware,LFS,FreeBSD,NetBSD 1998,Slackware,Debian,Red Hat,Mandrake,SuSE,Gentoo,Slackware,LFS,FreeBSD,NetBSD 1999,Slackware,Debian,Red Hat,Mandrake,SuSE,Gentoo,Slackware,LFS,FreeBSD,NetBSD
2000,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,Slackware,LFS,FreeBSD,NetBSD
2001,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,Ubuntu,LFS,FreeBSD,NetBSD
2002,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,Ubuntu,LFS,FreeBSD,NetBSD
2003,Ubuntu,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD
2004,Ubuntu,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD
2005,Ubuntu,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD
2006,Ubuntu,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD
2007,Ubuntu,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD
2008,Ubuntu,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD
2009,Ubuntu,Red Hat,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2010,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD
2011,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2012,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2013,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2014,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2015,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2016,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2017,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2018,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2019,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2020,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2021,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD 2022,Ubuntu,Fedora,Slackware,Debian,Mandrake,SuSE,Gentoo,LFS,FreeBSD,NetBSD
